name,author,publisher,publication_year,pages_count,ISBN,book_type,explanation,book_img
Rol Çalan Ceset - Özel Baskı,Celil Oker,Altın Kitaplar,2021,208,9789752126374,Polisiye,"Silahla oyun olmaz!Başkalarının hayatını değiştirmekten mustarip Dedektif Remzi Ünal,bundan böyle üstüne vazife olmayan işlere burnunu sokmamaya kararvermiştir. Aldığı iş her ne ise yalnızca onu yapacak, daha fazlasınakarışmayacaktır.Bir akşamüzeri, başının belada olduğunu söyleyerek kendisinden yardımisteyen tiyatrocu bir genç kızı arabasına alır. Ancak takip edildiğinianlayınca tuhaf yolcusunu indirir. Arabadan aceleyle inerek şehrinkaranlık sokaklarına karışan kızın o gece bir cinayete kurban gittiğiniöğrendiğinde ise hiçbir şey yapmamanın doğru olmadığına kanaatgetirerek cinayeti çözmek için işe koyulur.Rol Çalan Ceset’te Remzi Ünal’ı bu kez kendi kendinin patronu olarakgörüyoruz. Alışılmış bütün polisiye kalıplarını yıkan bu romandan büyükbir keyif alacaksınız.(Tanıtım Bülteninden)Silahla oyun olmaz!Başkalarının hayatını değiştirmekten mustarip Dedektif Remzi Ünal,bundan böyle üstüne vazife olmayan işlere burnunu sokmamaya kararvermiştir. Aldığı iş her ne ise yalnızca onu yapacak, daha fazlasınakarışmayacaktır.Bir akşamüzeri, başının belada olduğunu söyleyerek kendisinden yardımisteyen tiyatrocu bir genç kızı arabasına alır. Ancak takip edildiğinianlayınca tuhaf yolcusunu indirir. Arabadan aceleyle inerek şehrinkaranlık sokaklarına karışan kızın o gece bir cinayete kurban gittiğiniöğrendiğinde ise hiçbir şey yapmamanın doğru olmadığına kanaatgetirerek cinayeti çözmek için işe koyulur.Rol Çalan Ceset’te Remzi Ünal’ı bu kez kendi kendinin patronu olarakgörüyoruz. Alışılmış bütün polisiye kalıplarını yıkan bu romandan büyükbir keyif alacaksınız.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947797001-1.jpg
Sen Ölürsün Ben Yaşarım - Özel Baskı,Celil Oker,Altın Kitaplar,2021,232,9789752126466,Polisiye,"“Önünde durduğunuz kapının aralık olması bela getirir. Ama sizi o kapıyakadar getiren şey, sırtınızı dönüp gitmek isteseniz de çoktan kaderiniziçizmiştir. Ve bunun böyle olduğunu hiç kimse, Dedektif Remzi Ünal’dandaha iyi bilemez.”Remzi Ünal bu defa hatır için, kendine göre gayet kolay bir işi çözmekamacıyla işe koyuluyor. Hisarüstü’nde yaşayan ihtiyar bir çifte, büyükbir inşaat firmasının şantiyesinde kaza geçiren oğullarının hakmücadelesinde yardım etmesi istenmiştir. Ama bu iş için çaldığı ilkkapının ardında, kafasından tek kurşunla vurulmuş bir cesetle karşılaşır.Ve her zamanki gibi bu ceset de sadece bir ceset olarak kalmaz.Celil Oker’den tüm mahalleleri rant hırsıyla devasa beton yığınlarınaçevrilen İstanbul’un sıkışık trafiğinde, acımasız iş dünyasında, göğüdelmek hevesindeki binaların arasında geçen, ince bir mizahla örülü,sürükleyici bir polisiye daha…(Tanıtım Bülteninden)“Önünde durduğunuz kapının aralık olması bela getirir. Ama sizi o kapıyakadar getiren şey, sırtınızı dönüp gitmek isteseniz de çoktan kaderiniziçizmiştir. Ve bunun böyle olduğunu hiç kimse, Dedektif Remzi Ünal’dandaha iyi bilemez.”Remzi Ünal bu defa hatır için, kendine göre gayet kolay bir işi çözmekamacıyla işe koyuluyor. Hisarüstü’nde yaşayan ihtiyar bir çifte, büyükbir inşaat firmasının şantiyesinde kaza geçiren oğullarının hakmücadelesinde yardım etmesi istenmiştir. Ama bu iş için çaldığı ilkkapının ardında, kafasından tek kurşunla vurulmuş bir cesetle karşılaşır.Ve her zamanki gibi bu ceset de sadece bir ceset olarak kalmaz.Celil Oker’den tüm mahalleleri rant hırsıyla devasa beton yığınlarınaçevrilen İstanbul’un sıkışık trafiğinde, acımasız iş dünyasında, göğüdelmek hevesindeki binaların arasında geçen, ince bir mizahla örülü,sürükleyici bir polisiye daha…(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947798001-1.jpg
Kramponlu Ceset - Özel Baskı,Celil Oker,Altın Kitaplar,2021,232,9789752126398,Polisiye,"Kimi zaman her şey göründüğü gibidir...İş görüşmesi için büyük bir tekstil firmasının defilesine davet edilenDedektif Remzi Ünal, konukların arasında bir futbol takımının daolduğunu görünce şaşkınlığa uğrar. Ancak firma sahibi aynı zamandakulüp başkanıdır ve hafta sonu oynayacakları ölüm kalım maçındaoyuncularından bazılarının takımlarını satacağı ihbarını almıştır.Dedektifimizden istediği şey ise bu işin aslı astarı olup olmadığınıaraştırmasıdır.Kollarını sıvayarak kendine özgü yöntemleriyle işe koyulan Remzi Ünalilk olarak futbolcuları tanımaya ve tartmaya çalışır. Daha sonra da piskoku alma konusunda burunlarının en az kendisi kadar hassas olduğuna inandığı spor muhabirlerine yanaşır. Tam da güvenini kazandığı“acar” bir muhabirden istediği bilgileri elde etmek üzereyken ortalığıçınlatan bir silah sesi, soruşturmayı daha en başından içinden çıkılmazbir hale getirir.Polisiye edebiyatımızın seçkin kalemi Celil Oker, Kramponlu Ceset ileokuyucusunu yine doyumsuz bir maceraya sürüklüyor.(Tanıtım Bülteninden)Kimi zaman her şey göründüğü gibidir...İş görüşmesi için büyük bir tekstil firmasının defilesine davet edilenDedektif Remzi Ünal, konukların arasında bir futbol takımının daolduğunu görünce şaşkınlığa uğrar. Ancak firma sahibi aynı zamandakulüp başkanıdır ve hafta sonu oynayacakları ölüm kalım maçındaoyuncularından bazılarının takımlarını satacağı ihbarını almıştır.Dedektifimizden istediği şey ise bu işin aslı astarı olup olmadığınıaraştırmasıdır.Kollarını sıvayarak kendine özgü yöntemleriyle işe koyulan Remzi Ünalilk olarak futbolcuları tanımaya ve tartmaya çalışır. Daha sonra da piskoku alma konusunda burunlarının en az kendisi kadar hassas olduğuna inandığı spor muhabirlerine yanaşır. Tam da güvenini kazandığı“acar” bir muhabirden istediği bilgileri elde etmek üzereyken ortalığıçınlatan bir silah sesi, soruşturmayı daha en başından içinden çıkılmazbir hale getirir.Polisiye edebiyatımızın seçkin kalemi Celil Oker, Kramponlu Ceset ileokuyucusunu yine doyumsuz bir maceraya sürüklüyor.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947776001-1.jpg
Son Ceset - Özel Baskı,Celil Oker,Altın Kitaplar,2021,280,9789752126404,Polisiye,"Düşenin dostu olmaz...Nüfuzlu bir politikacının karısı, Dedektif Remzi Ünal’ın karşısına tuhaf birtaleple çıkar. Bir alacak verecek meselesine müdahil olması karşılığındadedektifimize hatırı sayılır bir ödeme yapacaktır. Üstelik ortada neizlenecek birileri vardır, ne de açığa çıkarılacak bir sır. İstenen şey açıkaçık mafya usulü bir gözdağıdır.Banka hesabındaki paraları suyunu çekmiş olan Remzi Ünal teklif edilenparanın dudak uçuklatan miktarını duyunca, böylesine güçlü bir kadınınneden kendisine geldiğini sorgulamaz bile. Hiç tarzı olmamasınarağmen, telefonunu açar, borçluyu tehdit eder ve hak ettiği ücreti tahsiletmek için müşterisinin ofisinin yolunu tutar. Ancak içeriye adımınıattığı anda kendini dipsiz bir kuyunun içinde bulur. Her zamanki gibi, onakendinden başka yardım edebilecek hiç kimse yoktur.Ülkemizde polisiye edebiyat dendiğinde akla gelen ilk isimlerden olanCelil Oker, Son Ceset’te kahramanımızı ölümcül bir tuzağın içineçekiyor ve bizlere okuması çok keyifli bir Remzi Ünal klasiği dahasunuyor.(Tanıtım Bülteninden)Düşenin dostu olmaz...Nüfuzlu bir politikacının karısı, Dedektif Remzi Ünal’ın karşısına tuhaf birtaleple çıkar. Bir alacak verecek meselesine müdahil olması karşılığındadedektifimize hatırı sayılır bir ödeme yapacaktır. Üstelik ortada neizlenecek birileri vardır, ne de açığa çıkarılacak bir sır. İstenen şey açıkaçık mafya usulü bir gözdağıdır.Banka hesabındaki paraları suyunu çekmiş olan Remzi Ünal teklif edilenparanın dudak uçuklatan miktarını duyunca, böylesine güçlü bir kadınınneden kendisine geldiğini sorgulamaz bile. Hiç tarzı olmamasınarağmen, telefonunu açar, borçluyu tehdit eder ve hak ettiği ücreti tahsiletmek için müşterisinin ofisinin yolunu tutar. Ancak içeriye adımınıattığı anda kendini dipsiz bir kuyunun içinde bulur. Her zamanki gibi, onakendinden başka yardım edebilecek hiç kimse yoktur.Ülkemizde polisiye edebiyat dendiğinde akla gelen ilk isimlerden olanCelil Oker, Son Ceset’te kahramanımızı ölümcül bir tuzağın içineçekiyor ve bizlere okuması çok keyifli bir Remzi Ünal klasiği dahasunuyor.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947799001-1.jpg
Bin Lotluk Ceset - Özel Baskı,Celil Oker,Altın Kitaplar,2021,216,9789752126411,Polisiye,"Para bazen her şeydir, bazen hiçbir şey...Çalışanlarından birinin şirket sırlarını rakip firmalara sattığındanşüphelenen bir borsa aracısı tarafından tutulan Dedektif Remzi Ünal,aslında başka bir amaca hizmet ettiğini düşünmektedir. Çünküşüphelenilen eleman olağanüstü güzellikte bir kadındır ve patron damutsuz evliliğinden mustarip yalnız bir adam.Dedektifimiz, o kendine özgü “şartları” kabul edilir edilmez, kadınıtakibe koyulur. Sabahın erken saatlerinde köpeğini gezdirmeye çıkanşüphelinin peşine düştüğünde, aslında onu başkalarının da izlediğini farkeder. Ancak onların amacının ne olduğunu anlamasına fırsat kalmadanalacakaranlığı yırtan silah sesleriyle birlikte kendini kanlı bir maceranıniçinde bulur.Bin Lotluk Ceset size entrikalar ve yalanlarla dolu bir dünyanınkapılarını açacak.(Tanıtım Bülteninden)Para bazen her şeydir, bazen hiçbir şey...Çalışanlarından birinin şirket sırlarını rakip firmalara sattığındanşüphelenen bir borsa aracısı tarafından tutulan Dedektif Remzi Ünal,aslında başka bir amaca hizmet ettiğini düşünmektedir. Çünküşüphelenilen eleman olağanüstü güzellikte bir kadındır ve patron damutsuz evliliğinden mustarip yalnız bir adam.Dedektifimiz, o kendine özgü “şartları” kabul edilir edilmez, kadınıtakibe koyulur. Sabahın erken saatlerinde köpeğini gezdirmeye çıkanşüphelinin peşine düştüğünde, aslında onu başkalarının da izlediğini farkeder. Ancak onların amacının ne olduğunu anlamasına fırsat kalmadanalacakaranlığı yırtan silah sesleriyle birlikte kendini kanlı bir maceranıniçinde bulur.Bin Lotluk Ceset size entrikalar ve yalanlarla dolu bir dünyanınkapılarını açacak.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947773001-1.jpg
Yenik ve Yalnız - Özel Baskı,Celil Oker,Altın Kitaplar,2021,312,9789752126435,Polisiye,"“Remzi Ünal... Şu Hava Kuvvetleri’nden müstafi, THY’den kovulma,kendisine saygısı olan hiçbir ‘frequent flyer’ın adını bile duymadığısekizinci sınıf charter şirketlerinde bile tutunamayan, MS FlightSimulator’ün yüklü olduğu bilgisayarı dört ayrı kutuya dağılan, eski pilot,ex-kaptan, nevzuhur özel dedektif Remzi Ünal.”Dedektif Remzi Ünal, bir süredir telefonuna bırakılan sesli mesajlarınsahibiyle sonunda karşılaşır, hem de tam mesleği bırakıp evlenmeküzereyken. “Müşterisi” Hülya Çakır, bir oto galerisinin sahibi olan eşininişyerindeki masasına bir zarf bırakılmasını istemektedir.Görüntüde oldukça basit bir işle kariyerine nokta koymaya ikna olandedektifimizin, aslında karmaşık bir hikâyenin ortasına düştüğünüanlaması için bir cinayetin işlenmesi yeterli olacaktır.Polisiye edebiyatımızın usta ismi Celil Oker’den yüksek tempolu,heyecanlı ve yetkin bir roman…(Tanıtım Bülteninden)“Remzi Ünal... Şu Hava Kuvvetleri’nden müstafi, THY’den kovulma,kendisine saygısı olan hiçbir ‘frequent flyer’ın adını bile duymadığısekizinci sınıf charter şirketlerinde bile tutunamayan, MS FlightSimulator’ün yüklü olduğu bilgisayarı dört ayrı kutuya dağılan, eski pilot,ex-kaptan, nevzuhur özel dedektif Remzi Ünal.”Dedektif Remzi Ünal, bir süredir telefonuna bırakılan sesli mesajlarınsahibiyle sonunda karşılaşır, hem de tam mesleği bırakıp evlenmeküzereyken. “Müşterisi” Hülya Çakır, bir oto galerisinin sahibi olan eşininişyerindeki masasına bir zarf bırakılmasını istemektedir.Görüntüde oldukça basit bir işle kariyerine nokta koymaya ikna olandedektifimizin, aslında karmaşık bir hikâyenin ortasına düştüğünüanlaması için bir cinayetin işlenmesi yeterli olacaktır.Polisiye edebiyatımızın usta ismi Celil Oker’den yüksek tempolu,heyecanlı ve yetkin bir roman…(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001947800001-1.jpg
Kaybolan Oyuncak Dükkanı,Edmund Crispin,Yapı Kredi Yayınları,2021,224,9789750850936,Polisiye,"Oxford’da kaybolan bir cinayet MahalliUsta polisiye yazarı Edmund Crispin’in klasikleşmiş dedektifi Gervase Fen’in en ünlü macerası olan Kaybolan Oyuncak Dükkânı, hem türün meraklıları hem de 20. yüzyıl İngilteresi’nde eşsiz bir maceraya atılmak isteyen okurlar için kaçırılmaması gereken bir fırsat.Şair Richard Cadogan tatil için gittiği Oxford’da kendini karmaşık olayların içinde bulur. Gece geç saatte şehre varan Cadogan, bir oyuncak dükkânının kapısının açık olduğunu fark eder. İçeride hırsızları bulacağını düşünerek dükkâna girer ama yaşlı bir kadının cesediylekarşılaşır. Daha cesedi tam inceleme fırsatı bulamadan kafasına aldığı darbeyle bilincini kaybeder. Sabah kendine geldiğinde yaptığı ilk iş polise gidip bütün gördüklerini anlatmak olur. Ancak artık ortada ne oyuncak dükkânı vardır ne de bir kadın cesedi. Bu kadar imkânsız görünen bir olayı kim çözer? Tabii ki bitip tükenmek bilmeyen enerjisi, tuhaf tavırları ve konuşmalarıyla Oxford’da adından sıkça söz ettiren Gervase Fen.“Eğlenceli maceralar.” -Washington Post“İnanılmaz bir mizah anlayışı.” -Independent(Tanıtım Bülteninden)Oxford’da kaybolan bir cinayet MahalliUsta polisiye yazarı Edmund Crispin’in klasikleşmiş dedektifi Gervase Fen’in en ünlü macerası olan Kaybolan Oyuncak Dükkânı, hem türün meraklıları hem de 20. yüzyıl İngilteresi’nde eşsiz bir maceraya atılmak isteyen okurlar için kaçırılmaması gereken bir fırsat.Şair Richard Cadogan tatil için gittiği Oxford’da kendini karmaşık olayların içinde bulur. Gece geç saatte şehre varan Cadogan, bir oyuncak dükkânının kapısının açık olduğunu fark eder. İçeride hırsızları bulacağını düşünerek dükkâna girer ama yaşlı bir kadının cesediylekarşılaşır. Daha cesedi tam inceleme fırsatı bulamadan kafasına aldığı darbeyle bilincini kaybeder. Sabah kendine geldiğinde yaptığı ilk iş polise gidip bütün gördüklerini anlatmak olur. Ancak artık ortada ne oyuncak dükkânı vardır ne de bir kadın cesedi. Bu kadar imkânsız görünen bir olayı kim çözer? Tabii ki bitip tükenmek bilmeyen enerjisi, tuhaf tavırları ve konuşmalarıyla Oxford’da adından sıkça söz ettiren Gervase Fen.“Eğlenceli maceralar.” -Washington Post“İnanılmaz bir mizah anlayışı.” -Independent(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001928627001-1.jpg
Ucuz Ölüm,Rıza Kıraç,Doğan Kitap,2018,,9786050951059,Polisiye,"Ölümün ucuz olduğu çağda yaşamı kutsayan kahramanlara ihtiyacımız var.Ucuz Ölüm, emniyette üst düzey görevlerde bulunmuş, kumpaslardan beraat etmiş Fırat Azad ve arkadaşlarının olağanüstü mücadelesini soluk soluğa anlatıyor.İntihar saldırısında iki kız kardeşini kaybeden Azad, bombalamanın faillerini ararken hiç hesapta olmayan kayıp bir avukat vakasının da sırrını çözmek zorunda kalacaktır. At izinin it izine karıştığını bir dönemde Fırat Azad kendi yöntemleriyle suçluların izini sürerken iki eski polis arkadaşı Oktay ve Yakup her zaman onun bir adım arkasında duracaktır.Fırat Azad’ın önündeki en büyük engel kirli işlere bulaşmış iki işadamı ve babasıdır.(Tanıtım Bülteninden)Ölümün ucuz olduğu çağda yaşamı kutsayan kahramanlara ihtiyacımız var.Ucuz Ölüm, emniyette üst düzey görevlerde bulunmuş, kumpaslardan beraat etmiş Fırat Azad ve arkadaşlarının olağanüstü mücadelesini soluk soluğa anlatıyor.İntihar saldırısında iki kız kardeşini kaybeden Azad, bombalamanın faillerini ararken hiç hesapta olmayan kayıp bir avukat vakasının da sırrını çözmek zorunda kalacaktır. At izinin it izine karıştığını bir dönemde Fırat Azad kendi yöntemleriyle suçluların izini sürerken iki eski polis arkadaşı Oktay ve Yakup her zaman onun bir adım arkasında duracaktır.Fırat Azad’ın önündeki en büyük engel kirli işlere bulaşmış iki işadamı ve babasıdır.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001755594001-1.jpg
Miss Marple'ın Son Maceraları,Agatha Christie,Altın Kitaplar,2008,,9789752109858,Polisiye,"AGATHA CHRISTIE’NİN TÜRKİYE’DE İLK KEZ YAYINLANAN ESERİBirincisi, kilisedeki esrarengiz yaralı adam... sonra ölü adamın gömdüğü hazinenin esrarı... ceset ve mezura... kâhya kadının at ka-zasındaki rolü... hırsızlıkla suçlanan kız... karısını hançerleyerek öldürmekle suçlanan bir adam. Bu altı vakanın tek bir ortak noktası var... Jane Marple’ın tümdengelimci şaşırtıcı gücü.Sayfa Sayısı: 192Baskı Yılı: 2008Dili: TürkçeYayınevi: Altın Kitaplar                            ",https://i.idefix.com/cache/150x242-0/originals/0000000276786-1.jpg
Üç Yanlış Üç Ceset,Agatha Christie,Altın Kitaplar,2003,,9789752103160,Polisiye,"Öğrencilerin kaldığı bir pansiyonda patlak veren hırsızlık olayı Hercule Poirot için hiç de ilgi çekici bir durum değildir. Başlangıçta basit bir hırsızlık gibi görünen olayda çalınanların listesini gören Poirot, eşi bulunmaz bir sorunla karşılaştığını hemen anlar. Çünkü listede: bir steteskop, bir kutu çikolata, parçalanmış bir bez çanta ve çorba içinen çıkarılmış elmas bir yüzük vardır.İnce Kapak: Sayfa Sayısı: 191Baskı Yılı: 2003e-Kitap: Sayfa Sayısı: 173Baskı Yılı: 2003Dili: TürkçeYayınevi: Altın Kitaplar                            ",https://i.idefix.com/cache/150x242-0/originals/0000000141430-1.jpg
Ölüm Meleği,Agatha Christie,Altın Kitaplar,2003,,9789752103252,Polisiye,"Jane Marple hiç beklemediği birinden bir mektup alır. Yolculuklarının birinde tanıştığı Bay Rafiel'den gelen mektup yaşlı kadını şaşırtır. Kısa bir süre önce ölen adam, onun adalet duygusuna güvendiğinden söz ederek bir cinayet olayının ortaya çıkarılmasını istemektedir. Ama tüm bu isteklerin dışında cevaplanmamış sorular vardır: Bir; sözü edilen cinayeti kim işlemiştir? İki; cinayet nerede ve ne zaman gerçekleşmiştir? Tüm bu soruları cevaplandıracak olan yaşlı Marple, kalan zamanını ve düşmanını bilemeden hızla yol almak zorundadır...Sayfa Sayısı: 192Baskı Yılı: 2003Dili: TürkçeYayınevi: Altın Kitaplar                            ",https://i.idefix.com/cache/150x242-0/originals/0000000142266-1.jpg
Ölüm Diken Üstünde,Agatha Christie,Altın Kitaplar,1992,,9789754053241,Polisiye,Ölüm Diken ÜstündeSayfa Sayısı: 173Baskı Yılı: 1992Dili: TürkçeYayınevi: Altın Kitaplar                            ,https://i.idefix.com/cache/150x242-0/originals/0000000059381-1.jpg
Örümcek Ağı,Agatha Christie,Altın Kitaplar,2018,,9789752124165,Polisiye,"Dışişlerinde gelecek vaat eden saygın bir diplomatın karısı olan Clarissa sürekli düş kurmakta, varsayımlar üretmektedir. Yine bir gün, “Aşağıya indiğimde kütüphanede bir ceset bulursam ne yaparım?” diye düşünür.Ve sonunda ne yapacağını görme şansını yakalar, bir ceset bulur… hem de evinin salonunda. Onu ortadan kaldırma çabası içinde, evindeki konuklardan kendisine destek vermelerini ve suç ortağı olmalarını ister. Ancak tam da cesedi yok edip, katili araştırma çabalarına giriştikleri sırada bir polis müfettişi çıkagelir ve bu gizem dolu olayların başlangıcı olur.“Kendimi giderek artan bir sabırsızlıkla sayfaları çevirirken buldum…”   - David Robson, Sunday Telegraph -(Tanıtım Bülteninden)Dışişlerinde gelecek vaat eden saygın bir diplomatın karısı olan Clarissa sürekli düş kurmakta, varsayımlar üretmektedir. Yine bir gün, “Aşağıya indiğimde kütüphanede bir ceset bulursam ne yaparım?” diye düşünür.Ve sonunda ne yapacağını görme şansını yakalar, bir ceset bulur… hem de evinin salonunda. Onu ortadan kaldırma çabası içinde, evindeki konuklardan kendisine destek vermelerini ve suç ortağı olmalarını ister. Ancak tam da cesedi yok edip, katili araştırma çabalarına giriştikleri sırada bir polis müfettişi çıkagelir ve bu gizem dolu olayların başlangıcı olur.“Kendimi giderek artan bir sabırsızlıkla sayfaları çevirirken buldum…”   - David Robson, Sunday Telegraph -(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001760696001-1.jpg
Kütüphanedeki Ceset,Agatha Christie,Altın Kitaplar,2023,192,9789752127715,Polisiye,                                Kütüphanedeki Ceset                            ,https://i.idefix.com/cache/150x242-0/originals/0002031894001-1.jpg
Aristoteles ve Şiirsel Adalet,Margaret Doody,Alfa Yayıncılık,2016,,9786051711980,Polisiye,"MÖ 330: Sessiz Yemek gecesinde Atina, ölmüşlerinin ruhlarını yatıştırmaya çalışıyor. Stephanos ile hocası Aristoteles şaşırtıcı bir kaçırma olayını çözmeye davet ediliyor. Önde gelen bir gümüş tüccarının mirasçısı Anthia evinden kaçırılmıştır. Tek bilinen, olaya karışanların, geleneksel Kâhin'in diyarı olan Delfi yoluna yönelmiş olduğudur.Stephanos ile Aristoteles peşlerine düşerler, ama yol boyunca kafalarını karıştıracak pek çok şeyle karşılaşırlar: garip yabancılarla ilgili söylentiler, kılık değiştirmeler, cinayetler. Çok geçmeden, yol üstünde bir psikopat olduğu kesinleşir. Ama gizemin çözülebilmesi için Delfi'ye varmaları gerekmektedir. Kâhin acaba katili belirleyebilecek midir? ""Huzurlu … şiddet dolu … Antik Yunan sevdalıları için nostaljik … klasikçiler için keyif.""-Times Literary Supplement-""Bu daha önce neden kimsenin aklına gelmemiş?""-The Times- (Tanıtım Bülteninden)Sayfa Sayısı: 447Baskı Yılı: 2016Dili: TürkçeYayınevi: Alfa Yayıncılık                            ",https://i.idefix.com/cache/150x242-0/originals/0000000678124-1.jpg
Diş İzleri-Bir Dedektif John Rebus Polisiyesi-3,Ian Rankin,Alfa Yayıncılık,2019,,9786051711942,Polisiye,"Dedektif John Rebus, bu kez kendi topraklarından uzakta, Londra’da. Çünkü kurbanlarını ısıran ve bıçaklayarak öldüren bir “Kurtadam” geceleri Londra sokaklarında kendine yeni kurbanlar seçiyor.Rastgele işlenmiş gibi görünen bu cinayetlerin failine dair hiçbir ipucu yakalayamayan İngiliz polisi, çareyi seri katiller konusunda “uzman” Dedektif John Rebus’u çağırmakta buluyor. Teşkilat içinde maruz kaldığı ırkçı davranışların yanı sıra, kendisine tamamen yabancı sokaklarda katilin izini sürüp cinayeti çözmek, Rebus için bu kez her zamankinden zorlu ve tehlikeli olacak...Serinin üçüncü kitabı DİŞ İZLERİ’nde gerilimin dozu giderek artarken ters köşe olmaya hazır olun.(Tanıtım Bülteninden)Dedektif John Rebus, bu kez kendi topraklarından uzakta, Londra’da. Çünkü kurbanlarını ısıran ve bıçaklayarak öldüren bir “Kurtadam” geceleri Londra sokaklarında kendine yeni kurbanlar seçiyor.Rastgele işlenmiş gibi görünen bu cinayetlerin failine dair hiçbir ipucu yakalayamayan İngiliz polisi, çareyi seri katiller konusunda “uzman” Dedektif John Rebus’u çağırmakta buluyor. Teşkilat içinde maruz kaldığı ırkçı davranışların yanı sıra, kendisine tamamen yabancı sokaklarda katilin izini sürüp cinayeti çözmek, Rebus için bu kez her zamankinden zorlu ve tehlikeli olacak...Serinin üçüncü kitabı DİŞ İZLERİ’nde gerilimin dozu giderek artarken ters köşe olmaya hazır olun.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001792810001-1.jpg
Solgun Suçlu,Philip Kerr,Alfa Yayıncılık,2015,,9786051710136,Polisiye,"1938'in sıcak Berlin yazında Almanya endişeli bir şekilde Münih Konferansı'nın sonucunu beklemektedir. Hitler ülkeyi Avrupa'ya karşı bir savaşın içine mi sürükleyecektir? Özel dedektif Bernie Günther zengin bir dul tarafından ona kimin şantaj yaptığını bulması için tutulmuştur. Alman polisi Kripo ise çözemediği bir davayı panik yaratmaması için halktan gizlemektedir. SS içindeki en güçlü adamlardan biri olan Reinhard Heydrich, eski polis Bernhard Günther'i geçici olarak Kommissar rütbesiyle bu davanın başına getirir. Katilin arkasında hiçbir iz bırakmadan genç Alman kızlarını acımasızca katlettiği, ritüel benzeri cinayetler görünürde Yahudileri işaret etmektedir. Her yeni cinayetle ipuçlarını toplayan Bernie kendini boğazına kadar büyük bir komplonun içine batmış bulacaktır.""Solgun Suçlu, kendi acımasız labirentinde fevkalade bir hız ve çok güçlü bir hikâyeyle ilerliyor.""-The Independerit-""Philip Kerr, eski Berlin polisi Bernie Günther'in Üçüncü Reich döneminde yürüttüğü zorlu işleriyle tam not alıyor.""-The Sunday Times-""Kötücül Alman liderlerinin çarpıcı ve hoş betimlemeleri, uçurumun kenarındaki Berlin'de harikulade bir tur ve alaycı, cesur bir rehber."" -St. Louis Post-Dispatch-(Tanıtım Bülteninden)Sayfa Sayısı: 380Baskı Yılı: 2015Dili: TürkçeYayınevi: Alfa Yayıncılık                            ",https://i.idefix.com/cache/150x242-0/originals/0000000632983-1.jpg
Azazel,Boris Akunin,Alfa Yayıncılık,2018,,9786051715469,Polisiye,"Arka Kapak Yazısı (Tanıtım Bülteninden)Sıradışı dedektifin bu ilk macerasında Erast Fandorin’in daha yirmi yaşında, becerikli, korkusuz, soylu ve yakışıklı bir gençtir. Kaderin cilvesiyle yoksul düşen genç, bir polis karakolunda işe girmiş, verilen görevleri ve kalbinin emirlerini harfiyen yerine getirmektedir.Rus polisiye yazarı B.Akunin’i uluslararası üne kavuşturan Fandorin romanlarında 19. yüzyıl sonu Rusya’sının atmosferi bütün renkliliğiyle canlandırılıyor. Rus klasiklerinin Onegin, Çiçikov, Raskolnikov, Anna Karenina gibi karakterleri de polisiye karakterler olarak karşımıza çıkıyor. Serinin bu ilk romanında Fandorin, Petersburg’un beyaz gecelerinden Londra’nın sisli nehrine dek uzanan büyük bir gizli örgütü ortaya çıkarır.Yay.Yön: Mustafa KüpüşoğluKapak: Füsun T. ElmasoğluArka Kapak Yazısı (Tanıtım Bülteninden)Sıradışı dedektifin bu ilk macerasında Erast Fandorin’in daha yirmi yaşında, becerikli, korkusuz, soylu ve yakışıklı bir gençtir. Kaderin cilvesiyle yoksul düşen genç, bir polis karakolunda işe girmiş, verilen görevleri ve kalbinin emirlerini harfiyen yerine getirmektedir.Rus polisiye yazarı B.Akunin’i uluslararası üne kavuşturan Fandorin romanlarında 19. yüzyıl sonu Rusya’sının atmosferi bütün renkliliğiyle canlandırılıyor. Rus klasiklerinin Onegin, Çiçikov, Raskolnikov, Anna Karenina gibi karakterleri de polisiye karakterler olarak karşımıza çıkıyor. Serinin bu ilk romanında Fandorin, Petersburg’un beyaz gecelerinden Londra’nın sisli nehrine dek uzanan büyük bir gizli örgütü ortaya çıkarır.Yay.Yön: Mustafa KüpüşoğluKapak: Füsun T. Elmasoğlu",https://i.idefix.com/cache/150x242-0/originals/0001741056001-1.jpg
